Data field,Definition,Units,Data Source,Methodology
year,Reporting year,,"EIA 860, EIA 923",
parent_name,Name of ultimate parent company,,RMI,
utility_name,Name of utility,,RMI,
respondent_id,Utility ID from FERC,,FERC Form 1,
plant_id_eia,Plant ID from EIA (aka ORISPL),,EIA 860,
plant_name_eia,Plant name from EIA,,EIA 860,
generator_id,Generator ID from EIA,,EIA 860,
state,State that the plant is located in,,EIA 860,
city,City that the plant is located in,,EIA 860,
county,County that the plant is located in,,EIA 860,
latitude,Latitude,,EIA 860,
longitude,Longitude,,EIA 860,
balancing_authority_code_eia,Code for Balancing Authority that the plant is located in,,EIA 860,
balancing_authority_name_eia,Name of Balancing Authority that the plant is located in,,EIA 860,
iso_rto_code,"Code for Independent System Operator (ISO) or Regional Transmission Operator (RTO)
that the plant is connected to",,,
nerc_region,NERC region that the plant is located in,,EIA 860,
owned_or_total,"A filter used in the RMI Utility Transition Hub Portal. “Owned” lines are utility-owned power plants. “Total” lines include Purchased Power, Energy Efficiency, and Demand Response.",,RMI,
operational_status_code,Operating status from EIA (end of year),,EIA 860,
BU,Backup,,EIA 860,
CN,Cancelled,,EIA 860,
IP,Indefinitely postponed,,EIA 860,
L,Regulatory approvals pending,,EIA 860,
OA,"Out of Service, expected to return to service in next year",,EIA 860,
OP,Operating,,EIA 860,
OS,Out of Service,,EIA 860,
OT,Other,,EIA 860,
P,Planned,,EIA 860,
RE,Retired,,EIA 860,
SB,Standby,,EIA 860,
T,Regulatory approvals received,,EIA 860,
TS,"Construction complete, not yet in operation",,EIA 860,
U,"Under construction, <50% complete",,EIA 860,
V,"Under construction, >50% complete",,EIA 860,
operating_month,Month that the generator began operating,,EIA 860,
operating_year,Year that the generator began operating,,EIA 860,
retirement_month,Month that the generator retired,,EIA 860,
retirement_year,Year that the generator retired,,EIA 860,
energy_source,"Source of energy. Options include Net Generation (generation from owned power plants), Wholesale Power Purchases, Net Exchanges, Net Wheeled Power, Transmission by Others Losses, Energy Efficiency, and Demand Response.",,EIA 861,
technology_eia,Technology description from EIA,,EIA 860,
technology_rmi,Technology description from RMI,,RMI,"technology_rmi is a more coarse technology grouping than technology_eia, used to connect EIA and FERC datasets."
energy_source_code,Energy Source Code (describes fuel type),,EIA 923,
AB,Agricultural By-Products,,EIA 923,
ANT,Anthracite Coal,,EIA 923,
BFG,Blast Furnace Gas,,EIA 923,
BIT,Bituminous Coal,,EIA 923,
BLQ,Black Liquor,,EIA 923,
CBL,Blended Coal,,EIA 923,
DFO,Distillate Fuel Oil,,EIA 923,
GEO,Geothermal,,EIA 923,
JF,Jet Fuel,,EIA 923,
KER,Kerosene,,EIA 923,
LFG,Landfill Gas,,EIA 923,
LIG,Lignite Coal,,EIA 923,
MSB,Biogenic Municipal Solid Waste,,EIA 923,
MSN,Non-biogenic Municipal Solid Waste,,EIA 923,
MSW,Municipal Solid Waste,,EIA 923,
MWH,Electricity used for energy storage,,EIA 923,
NG,Natural Gas,,EIA 923,
NUC,Nuclear,,EIA 923,
OBG,Other Biomass Gas,,EIA 923,
OBL,Other Biomass Liquids,,EIA 923,
OBS,Other Biomass Solids,,EIA 923,
OG,Other Gas,,EIA 923,
OTH,Other Fuel,,EIA 923,
PC,Petroleum Coke,,EIA 923,
PG,Propane Gas,,EIA 923,
PUR,Purchased Steam,,EIA 923,
RC,Refined Coal,,EIA 923,
RFO,Residual Fuel Oil,,EIA 923,
SC,Coal-based Synfuel,,EIA 923,
SGC,Synthesis Gas Derived from Coal,,EIA 923,
SGP,Synthesis Gas Derived from Petroleum Coke,,EIA 923,
SLW,Sludge Waste,,EIA 923,
SUB,Subbituminous Coal,,EIA 923,
SUN,Solar,,EIA 923,
TDF,Tire-Derived Fuel,,EIA 923,
WAT,Water,,EIA 923,
WC,Waste Coal,,EIA 923,
WDL,Wood Waste Liquids,,EIA 923,
WDS,Wood/Wood Waste Solids,,EIA 923,
WH,Waste Heat,,EIA 923,
WND,Wind,,EIA 923,
WO,Waste Oil,,EIA 923,
COAL,Coal,,EIA 923,
OIL,Oil,,EIA 923,
BIO,Biomass,,EIA 923,
fuel_type_category,"Fuel Type Category, determined by RMI groupings for display in the Utility Transition Hub Portal",,RMI,
net_generation,Net generation,TWh,"EIA 860, EIA 923","Generation from EIA923, allocated to each generator in EIA860 based on a priority of: (a) net generation from EIA923 generator-level data (b) net generation from EIA923 prime mover/fuel type data, allocated to all generators with the same prime mover and fuel type based on capacity then multiplied by ownership fraction of each generator by utility."
fuel_consumed,Energy content of fuel consumed,MMBtu,"EIA 860, EIA 923","Fuel consumption from EIA923, allocated to each generator in EIA860 based on a priority of: (a) net generation from EIA923 generator-level data (b) net generation from EIA923 prime mover/fuel type data, allocated to all generators with the same prime mover and fuel type based on capacity then multiplied by ownership fraction of each generator by utility."
emissions_co2,Emissions of carbon dioxide from fossil fuel combustion,MMT,"EIA 860, EIA 923, EPA AMPD","= fuel_consumed [MMBtu] * emissions_factor [MMT of CO2/MMBtu]
emissions_factor specific to each fuel_type_code"
emissions_nox,Emissions of nitrous oxides from fossil fuel combustion,"metric tons","EIA 860, EIA 923, EPA AMPD","plant-level NOx emissions, allocated to each generator based on capacity, then multiplied by ownership fraction of each generator by utility."
emissions_sox,Emissions of sulphur oxides from fossil fuel combustion,"metric tons","EIA 860, EIA 923, EPA AMPD","plant-level SOx emissions, allocated to each generator based on capacity, then multiplied by ownership fraction of each generator by utility."
